"","Task Name","Category","Tags","Due Date","Status","Assigned To"
"","Electricity Bill  U.No 27","-","","14-03-2023","Not Started 
        
            
        Waiting For SomeoneDeferredCompletedIn ProgressNot Started",""
"","Electricity Bill  U.No 28","-","","14-03-2023","Not Started 
        
            
        Waiting For SomeoneDeferredCompletedIn ProgressNot Started",""
"","Electricity Bill  U.No 28","-","","14-02-2023","Not Started 
        
            
        Waiting For SomeoneDeferredCompletedIn ProgressNot Started",""
"","Electricity Bill  U.No 27","-","","14-02-2023","Not Started 
        
            
        Waiting For SomeoneDeferredCompletedIn ProgressNot Started",""
"","Electricity Bill  U.No 27","-","","14-01-2023","Not Started 
        
            
        Waiting For SomeoneDeferredCompletedIn ProgressNot Started",""
"","Electricity Bill  U.No 28","-","","14-01-2023","Not Started 
        
            
        Waiting For SomeoneDeferredCompletedIn ProgressNot Started",""
"","Rent U.No 27-Yogesh Shah","-","","12-01-2023","Not Started 
        
            
        Waiting For SomeoneDeferredCompletedIn ProgressNot Started",""
"","Harmony Maintenance","-","","09-02-2023","Not Started 
        
            
        Waiting For SomeoneDeferredCompletedIn ProgressNot Started",""
"","Harmony Maintenance","-","","09-01-2023","Not Started 
        
            
        Waiting For SomeoneDeferredCompletedIn ProgressNot Started",""
"","Electricity Bill GW C1401","-","","04-03-2023","Not Started 
        
            
        Waiting For SomeoneDeferredCompletedIn ProgressNot Started",""
